iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
0,5000,0.0,0.8546,0.0035,0.0146,0.0,-0.2067,-176.36,5.15,2.04,48142.0,0.0,0.0004,0.0024,-18.5894,-0.0002,14392.0536,-0.0084,1.0
1,5000,0.0,0.9996,0.0001,0.0161,0.0,-0.2083,-154.99,4.53,1.03,95807.0,0.0,0.0005,0.0025,-19.8475,-0.0002,12143.6677,-0.0087,1.0
2,5000,0.0,1.0,0.0,0.0151,0.0,-0.2083,-146.17,4.27,1.03,95386.0,0.0,0.0005,0.0022,-18.5341,-0.0002,10656.2721,-0.0069,1.0
3,5000,0.0,1.0,0.0,0.0143,0.0,-0.2083,-135.89,3.96,1.05,93197.0,0.0,0.0004,0.0021,-17.7497,-0.0002,9631.8479,-0.0059,1.0
4,5000,0.0,1.0,0.0,0.0137,0.0,-0.2083,-136.91,4.0,1.08,90888.0,0.0,0.0004,0.002,-17.011,-0.0002,8763.6937,-0.0054,1.0
5,5000,0.0,1.0,0.0,0.0134,0.0,-0.2083,-141.39,4.14,1.07,91672.0,0.0,0.0003,0.0019,-16.6249,-0.0001,8215.0963,-0.0075,1.0
6,5000,0.0,1.0,0.0,0.0131,0.0,-0.2083,-136.35,3.99,1.08,91321.0,0.0,0.0003,0.0018,-16.3037,-0.0001,7465.9141,-0.0066,1.0
7,5000,0.0,1.0,0.0,0.0128,0.0,-0.2083,-128.19,3.75,1.07,92223.0,0.0,0.0003,0.0018,-15.9526,-0.0001,6791.9646,-0.0063,1.0
8,5000,0.0,1.0,0.0,0.0126,0.0,-0.2083,-130.21,3.81,1.08,91174.0,0.0,0.0003,0.0018,-15.7205,-0.0001,6267.6218,-0.0067,1.0
9,5000,0.0,1.0,0.0,0.0124,0.0,-0.2083,-143.66,3.8,1.07,91467.0,0.0,0.0003,0.0017,-15.4326,-0.0001,5579.1984,-0.0047,1.0
10,5000,0.0,1.0,0.0,0.0123,0.0,-0.2083,-125.4,3.68,1.07,92199.0,0.0,0.0003,0.0017,-15.3211,-0.0001,5032.7343,-0.0035,0.99
11,5000,0.0,1.0,0.0,0.0122,0.0,-0.2083,-126.94,3.7,1.07,92295.0,0.0,0.0003,0.0017,-15.1992,-0.0001,4342.7428,-0.0048,0.99
12,5000,0.0,1.0,0.0,0.012,0.0,-0.2083,-122.95,3.61,1.08,91375.0,0.0,0.0003,0.0016,-14.9142,-0.0001,3955.2813,-0.0048,0.99
13,5000,0.0,1.0,0.0,0.0119,0.0,-0.2083,-120.95,3.55,1.07,91750.0,0.0,0.0003,0.0016,-14.7985,-0.0001,3539.3396,-0.0062,0.99
14,5000,0.0,1.0,0.0,0.0116,0.0,-0.2083,-116.98,3.41,1.09,90157.0,0.0,0.0002,0.0016,-14.5253,-0.0001,3227.4924,-0.0021,0.99
15,5000,0.0,1.0,0.0,0.0115,0.0,-0.2083,-120.99,3.54,1.1,89692.0,0.0,0.0002,0.0016,-14.3643,-0.0001,2935.5449,-0.0038,0.99
16,5000,0.0,1.0,0.0,0.0114,0.0,-0.2083,-118.33,3.45,1.08,90825.0,0.0,0.0002,0.0016,-14.2296,-0.0001,2829.1475,-0.0039,0.98
17,5000,0.0,1.0,0.0,0.0114,0.0,-0.2083,-117.58,3.45,1.09,90062.0,0.0,0.0002,0.0015,-14.1255,-0.0001,2312.8669,-0.0017,0.98
18,5000,0.0,1.0,0.0,0.0113,0.0,-0.2083,-117.72,3.44,1.08,90615.0,0.0,0.0002,0.0015,-14.0765,-0.0001,2231.2091,-0.0062,0.98
19,5000,0.0,1.0,0.0,0.0111,0.0,-0.2083,-117.66,3.43,1.09,89900.0,0.0,0.0002,0.0015,-13.8947,-0.0001,1995.3491,-0.0059,0.98
20,5000,0.0,1.0,0.0,0.0111,0.0,-0.2083,-118.49,3.48,1.09,90586.0,0.0,0.0002,0.0015,-13.8092,-0.0001,1743.986,-0.004,0.98
21,5000,0.0,1.0,0.0,0.011,0.0,-0.2083,-115.29,3.38,1.11,88298.0,0.0,0.0002,0.0015,-13.7161,-0.0001,1571.4695,-0.003,0.98
22,5000,0.0,1.0,0.0,0.0109,0.0,-0.2083,-116.7,3.42,1.08,91084.0,0.0,0.0002,0.0015,-13.5744,-0.0001,1245.7909,-0.0007,0.98
23,5000,0.0,1.0,0.0,0.0109,0.0,-0.2083,-112.84,3.29,1.09,90491.0,0.0,0.0002,0.0015,-13.4737,-0.0001,1226.8179,-0.0068,0.98
24,5000,0.0,1.0,0.0,0.0107,0.0,-0.2083,-111.1,3.25,1.08,90769.0,0.0,0.0002,0.0015,-13.348,-0.0001,1063.5784,-0.0067,0.98
25,5000,0.0,1.0,0.0,0.0107,0.0,-0.2083,-108.8,3.2,1.09,89908.0,0.0,0.0002,0.0015,-13.3104,-0.0001,952.1501,-0.003,0.98
