iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
0,5000,0.0,0.1434,0.0436,0.0184,0.0,-0.1399,-5.53,19.92,1.73,56850.0,0.0,0.0009,0.0021,-0.0,-0.0003,5.3737,0.004,1.0
1,5000,0.0,0.4674,0.075,0.0484,0.0,-0.1846,-6.76,27.05,0.78,126826.0,0.0,0.0135,0.006,-0.0,-0.0013,3.0491,-0.0042,1.0
2,5000,0.0585,0.6001,0.0821,0.1237,0.2617,-0.1421,0.22,48.84,0.77,127089.0,0.0,0.0925,0.0126,-0.0,-0.004,7.438,-0.0046,1.0
3,5000,0.2298,0.6668,0.0582,0.13,0.3406,-0.1379,-2.28,40.32,0.78,126185.0,0.0,0.1017,0.0127,-0.0,-0.0043,6.2525,-0.0052,1.0
4,5000,0.2849,0.6662,0.0321,0.1218,0.3183,-0.1437,0.38,42.87,0.78,125993.0,0.0,0.0942,0.0121,-0.0,-0.0041,5.7417,-0.0028,1.0
5,5000,0.3412,0.6339,0.0155,0.1498,0.4656,-0.1141,1.55,45.87,0.79,124484.0,0.0,0.1273,0.0146,-0.0,-0.005,5.7416,-0.0046,1.0
6,5000,0.3932,0.5911,0.0097,0.1523,0.4727,-0.1128,2.43,50.98,0.79,123706.0,0.0,0.1294,0.0149,-0.0,-0.0055,5.9092,-0.0037,1.0
7,5000,0.4333,0.5554,0.0075,0.1481,0.4776,-0.1125,-0.53,39.6,0.78,126639.0,0.0,0.1268,0.0145,-0.0,-0.0057,4.6946,-0.0033,1.0
8,5000,0.4589,0.5318,0.006,0.1643,0.5602,-0.0962,2.11,49.71,0.81,121567.0,0.0,0.1457,0.0157,-0.0,-0.0061,4.5217,-0.0029,1.0
9,5000,0.4914,0.5014,0.0054,0.1672,0.58,-0.0908,0.98,52.89,0.8,123340.0,0.0,0.1474,0.0161,-0.0,-0.0068,4.2132,-0.0053,1.0
10,5000,0.518,0.4744,0.0077,0.1569,0.553,-0.0938,2.37,51.68,0.79,124312.0,0.0,0.1398,0.0165,-0.0,-0.0075,3.5886,-0.0054,1.0
