iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
300,700,0.0,0.1882,0.0385,0.0127,0.0,-0.1673,-8.71,15.66,1.75,56280.0,0.0,0.0016,0.0017,-0.0005,-0.0025,15.2642,0.0029,0.98
301,700,0.0,0.3325,0.0864,0.0651,0.0,-0.128,-6.53,30.38,0.79,124843.0,0.0,0.0282,0.0079,-0.0007,-0.0068,2.3277,-0.005,0.98
302,700,0.1578,0.3614,0.125,0.1815,0.451,-0.0586,1.17,45.06,0.77,127805.0,0.0,0.1573,0.0174,-0.0004,-0.0122,7.6872,-0.0047,0.98
303,700,0.4858,0.3574,0.0983,0.1523,0.5203,-0.1,-0.87,42.7,0.79,124139.0,0.0,0.1328,0.015,-0.0006,-0.0129,5.5341,-0.0043,0.98
304,700,0.5526,0.3588,0.0615,0.1677,0.5192,-0.0999,2.09,53.88,0.8,123383.0,0.0,0.1416,0.0172,-0.0006,-0.0169,2.6373,-0.0065,0.98
305,700,0.6009,0.3603,0.0275,0.2111,0.773,-0.0524,1.68,52.55,0.8,122214.0,0.0,0.196,0.0202,-0.0009,-0.0146,8.3916,-0.0044,0.98
306,700,0.6183,0.3596,0.016,0.174,0.5984,-0.0871,-1.43,48.76,0.79,124454.0,0.0,0.153,0.0172,-0.0006,-0.0144,5.0128,-0.0052,0.98
307,700,0.6234,0.3627,0.0115,0.191,0.6535,-0.0768,2.92,53.9,0.78,125756.0,0.0,0.1714,0.0194,-0.0007,-0.0156,4.3549,-0.0044,0.99
308,700,0.6292,0.361,0.0085,0.2037,0.7256,-0.0629,3.88,53.75,0.84,117089.0,0.0,0.1849,0.0202,-0.0007,-0.0154,5.0967,-0.0056,0.99
309,700,0.6349,0.3583,0.0063,0.186,0.6389,-0.0802,1.4,50.95,0.82,119673.0,0.0,0.1656,0.0187,-0.0007,-0.0152,3.8909,-0.0059,0.99
310,700,0.6419,0.351,0.007,0.2035,0.6774,-0.0705,2.17,48.71,0.82,119602.0,0.0,0.1775,0.0206,-0.0007,-0.0172,4.0775,-0.0056,0.99
311,700,0.6429,0.3515,0.0057,0.1999,0.6873,-0.0703,0.72,57.03,0.76,129508.0,0.0,0.1778,0.0202,-0.0008,-0.0156,5.1121,-0.006,0.99
312,700,0.6417,0.3519,0.0063,0.1981,0.6528,-0.0739,2.57,60.66,0.76,128745.0,0.0,0.1709,0.0208,-0.0009,-0.0178,4.1301,-0.0073,0.99
313,700,0.6356,0.3542,0.0102,0.2107,0.704,-0.0648,3.56,54.06,0.79,124517.0,0.0,0.1863,0.0218,-0.0008,-0.017,4.0803,-0.0026,0.99
314,700,0.6376,0.3509,0.0116,0.202,0.6926,-0.0687,3.74,55.96,0.79,124439.0,0.0,0.1795,0.0204,-0.0007,-0.0152,4.5843,-0.0049,0.99
315,700,0.6424,0.3468,0.0107,0.1997,0.6705,-0.0712,4.1,58.38,0.77,127807.0,0.0,0.1762,0.0209,-0.0007,-0.0166,4.5595,-0.0035,0.99
316,700,0.6489,0.342,0.0091,0.1994,0.6777,-0.0716,2.47,51.92,0.82,119245.0,0.0,0.1762,0.0205,-0.0008,-0.0157,3.7742,-0.0073,0.99
317,700,0.6515,0.3418,0.0066,0.2067,0.6995,-0.067,0.65,56.16,0.87,113559.0,0.0,0.1824,0.0207,-0.0006,-0.0152,4.8049,0.0004,0.99
318,700,0.653,0.3388,0.0082,0.1957,0.6705,-0.0706,1.44,60.73,0.78,126635.0,0.0,0.1739,0.0212,-0.0008,-0.0178,3.8287,-0.0054,0.99
319,700,0.653,0.3363,0.0107,0.2003,0.6796,-0.0703,5.52,56.47,0.81,121253.0,0.0,0.1777,0.0207,-0.0007,-0.0164,3.5936,-0.0067,0.99
320,700,0.6482,0.3404,0.0114,0.1974,0.6836,-0.0699,3.52,51.05,0.81,121115.0,0.0,0.1771,0.0204,-0.0007,-0.0158,3.5375,-0.0069,0.99
321,700,0.6478,0.3414,0.0108,0.2035,0.6819,-0.0696,2.43,51.5,0.81,120898.0,0.0,0.1784,0.0211,-0.0007,-0.0169,4.5086,-0.0037,0.99
322,700,0.6451,0.3455,0.0094,0.1967,0.6728,-0.0717,3.39,50.46,0.81,121982.0,0.0,0.1757,0.0203,-0.0007,-0.0164,3.8986,-0.0054,0.99
323,700,0.6435,0.3454,0.0111,0.201,0.6779,-0.07,2.14,54.54,0.77,128394.0,0.0,0.1786,0.0211,-0.0006,-0.0175,3.8143,-0.0068,0.99
324,700,0.6426,0.3452,0.0121,0.2078,0.6983,-0.0657,2.62,57.33,0.76,128737.0,0.0,0.1822,0.0215,-0.0007,-0.0172,4.5092,-0.0032,0.99
325,700,0.6449,0.3432,0.0119,0.2026,0.6835,-0.0695,3.27,53.81,0.8,123411.0,0.0,0.1787,0.0203,-0.0006,-0.0162,3.4579,-0.0055,0.99
326,700,0.6429,0.3461,0.011,0.1978,0.6795,-0.0704,5.85,60.78,0.76,129639.0,0.0,0.1758,0.0203,-0.0006,-0.0171,4.2631,-0.0056,0.99
327,700,0.6403,0.3492,0.0105,0.1931,0.6511,-0.076,0.47,49.0,0.77,128124.0,0.0,0.1707,0.02,-0.0007,-0.0167,3.8533,-0.0037,0.99
328,700,0.6358,0.3528,0.0114,0.2032,0.6862,-0.0679,4.12,59.92,0.76,129575.0,0.0,0.1791,0.021,-0.0007,-0.0178,3.3473,-0.0054,0.99
329,700,0.6459,0.3429,0.0112,0.2058,0.6945,-0.0673,7.08,62.23,0.76,128585.0,0.0,0.181,0.0204,-0.0006,-0.017,3.5531,-0.0056,0.99
330,700,0.6507,0.3396,0.0097,0.1958,0.6767,-0.0717,3.16,52.43,0.76,130035.0,0.0,0.1751,0.0199,-0.0006,-0.016,3.8327,-0.0035,0.99
331,700,0.6483,0.3416,0.0101,0.199,0.6784,-0.071,3.7,59.99,0.76,130175.0,0.0,0.1773,0.02,-0.0006,-0.0169,4.2321,-0.0051,0.99
332,700,0.6483,0.342,0.0097,0.1972,0.6729,-0.0718,3.6,54.46,0.75,130534.0,0.0,0.1741,0.0198,-0.0006,-0.0164,3.5241,-0.0053,1.0
333,700,0.6417,0.348,0.0105,0.2013,0.6771,-0.0699,3.81,53.96,0.81,120700.0,0.0,0.1773,0.0203,-0.0007,-0.0174,3.7552,-0.0061,1.0
334,700,0.6425,0.3457,0.012,0.2089,0.7045,-0.0648,4.46,55.8,0.81,121913.0,0.0,0.1841,0.0207,-0.0006,-0.0174,3.3261,-0.0077,1.0
335,700,0.647,0.3407,0.0125,0.2021,0.6868,-0.0683,2.25,58.76,0.81,120893.0,0.0,0.1801,0.0207,-0.0007,-0.0178,3.6491,-0.0045,1.0
336,700,0.6518,0.3365,0.0117,0.2036,0.6964,-0.0679,2.26,54.42,0.78,125313.0,0.0,0.1814,0.0205,-0.0006,-0.0169,3.1924,-0.0058,1.0
337,700,0.6607,0.3299,0.0094,0.1985,0.6837,-0.0696,0.67,53.63,0.77,127322.0,0.0,0.1761,0.0202,-0.0008,-0.0164,3.8341,-0.0046,1.0
338,700,0.6616,0.3301,0.0083,0.2017,0.7036,-0.0657,3.14,55.73,0.77,126948.0,0.0,0.1813,0.0207,-0.0006,-0.0167,3.5174,-0.0053,1.0
339,700,0.6683,0.323,0.0086,0.2059,0.7118,-0.0646,-0.32,53.55,0.8,123359.0,0.0,0.1848,0.0212,-0.0007,-0.017,5.3386,-0.0015,1.0
340,700,0.6691,0.3228,0.0081,0.1954,0.6733,-0.0724,-0.17,46.94,0.83,117837.0,0.0,0.1751,0.0198,-0.0007,-0.0156,3.7404,-0.0052,1.0
341,700,0.6617,0.3301,0.0082,0.1982,0.6949,-0.0678,0.21,49.14,0.82,119895.0,0.0,0.1788,0.0205,-0.0007,-0.0155,4.0703,-0.0052,1.0
342,700,0.6573,0.3333,0.0094,0.1957,0.6827,-0.0694,1.67,52.07,0.76,129773.0,0.0,0.1761,0.0204,-0.0006,-0.0158,3.6994,-0.0074,1.0
343,700,0.6523,0.3388,0.0089,0.197,0.6784,-0.0709,3.51,51.48,0.79,124281.0,0.0,0.1752,0.0204,-0.0007,-0.016,3.4256,-0.0029,1.0
344,700,0.6553,0.3369,0.0081,0.2037,0.7145,-0.0639,3.91,56.7,0.86,113904.0,0.0,0.1839,0.0209,-0.0007,-0.0159,3.6613,-0.005,1.0
345,700,0.6653,0.3261,0.0089,0.2,0.6907,-0.0678,3.67,58.62,0.77,127372.0,0.0,0.1795,0.0204,-0.0007,-0.0155,3.9871,-0.0048,1.0
346,700,0.6681,0.3221,0.01,0.2005,0.684,-0.0695,2.57,53.42,0.78,125284.0,0.0,0.1781,0.0204,-0.0006,-0.0158,3.4873,-0.0054,1.0
347,700,0.6608,0.3294,0.0099,0.1986,0.681,-0.0695,1.5,50.49,0.9,108834.0,0.0,0.1754,0.0206,-0.0006,-0.0165,3.7142,-0.0063,1.01
348,700,0.6641,0.3264,0.0095,0.2022,0.7069,-0.0653,2.31,50.85,1.3,75699.0,0.0,0.182,0.0202,-0.0007,-0.0155,3.6215,-0.0041,1.01
