iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
699,3199,0.0,0.3586,0.0296,0.0207,0.0,-0.1908,-3.54,14.26,1.75,56230.0,0.0,0.0001,0.0013,-0.0003,-0.0023,8.7706,0.0404,1.15
700,3199,0.0,0.7102,0.0387,0.0361,0.0,-0.2001,-3.55,17.32,0.79,123849.0,0.0,0.0008,0.004,-0.0004,-0.0056,3.6446,0.0143,1.15
701,3199,0.0116,0.7759,0.0378,0.0602,0.074,-0.1861,-2.28,26.92,0.77,126911.0,0.0,0.0204,0.0075,-0.0005,-0.0106,3.5961,0.0047,1.15
702,3199,0.0464,0.8069,0.0354,0.0745,0.1121,-0.1802,-2.32,26.82,0.78,126815.0,0.0,0.0306,0.0089,-0.0006,-0.0133,3.2248,0.0022,1.15
703,3199,0.0566,0.8245,0.0359,0.0769,0.1021,-0.1818,-2.56,28.06,0.79,125184.0,0.0,0.0291,0.0101,-0.0013,-0.0155,2.875,-0.0006,1.15
704,3199,0.0622,0.8401,0.0362,0.0814,0.0976,-0.1821,-0.54,37.79,0.77,127172.0,0.0,0.0282,0.0115,-0.0006,-0.0179,2.1676,-0.0056,1.15
705,3199,0.0688,0.8523,0.0361,0.09,0.1046,-0.1814,-2.37,32.12,0.75,130526.0,0.0,0.031,0.0127,-0.0006,-0.0201,1.9389,-0.0093,1.14
706,3199,0.072,0.8634,0.0365,0.0945,0.1079,-0.1796,-2.55,32.62,0.75,131022.0,0.0,0.033,0.0139,-0.0005,-0.022,1.6122,-0.0044,1.14
707,3199,0.0752,0.8733,0.0366,0.0911,0.101,-0.1823,-1.24,43.96,0.74,132381.0,0.0,0.0309,0.0138,-0.0007,-0.0223,1.5547,-0.0061,1.14
708,3199,0.077,0.8835,0.0351,0.1032,0.1046,-0.1807,-1.66,46.18,0.79,124119.0,0.0,0.0312,0.0157,-0.0007,-0.0259,1.2594,-0.0061,1.14
709,3199,0.078,0.8561,0.0663,0.1502,0.0781,-0.1451,-1.44,71.84,0.79,124240.0,0.0,0.0249,0.0322,-0.0006,-0.0571,1.3567,-0.0072,1.14
710,3199,0.0792,0.8217,0.0991,0.1251,0.0605,-0.1589,-2.58,67.38,0.76,128888.0,0.0,0.0208,0.026,-0.0009,-0.0465,1.3912,-0.0067,1.14
711,3199,0.0773,0.8153,0.1074,0.1098,0.0649,-0.1652,-2.68,72.64,0.76,128732.0,0.0,0.0203,0.0223,-0.0004,-0.0391,1.3991,-0.0102,1.14
712,3199,0.0702,0.8127,0.1171,0.1118,0.0652,-0.1653,-2.9,48.67,0.79,123662.0,0.0,0.0205,0.0231,-0.0005,-0.0396,1.3598,-0.0043,1.14
713,3199,0.073,0.8105,0.1165,0.0989,0.0778,-0.1689,-1.21,52.27,0.77,128140.0,0.0,0.0227,0.0199,-0.0004,-0.0339,1.3103,-0.0073,1.14
714,3199,0.0797,0.8031,0.1172,0.1069,0.073,-0.1683,-2.12,48.06,0.76,129475.0,0.0,0.0229,0.0207,-0.0005,-0.0364,1.319,-0.007,1.14
715,3199,0.0791,0.8055,0.1154,0.0982,0.0737,-0.1701,-2.56,53.94,0.81,121014.0,0.0,0.0225,0.0204,-0.0005,-0.0356,1.2119,-0.0067,1.14
716,3199,0.0786,0.8055,0.1159,0.1051,0.093,-0.1666,-2.0,51.59,0.78,125740.0,0.0,0.0278,0.0209,-0.0006,-0.0352,1.1851,-0.011,1.14
717,3199,0.0803,0.8009,0.1189,0.1077,0.0882,-0.165,-1.58,58.86,0.74,132963.0,0.0,0.0268,0.0214,-0.0004,-0.0365,1.0634,-0.0118,1.13
718,3199,0.0784,0.7951,0.1267,0.103,0.0897,-0.1644,-2.55,48.69,0.77,128311.0,0.0,0.0257,0.0211,-0.0007,-0.0361,0.945,-0.0112,1.13
719,3199,0.0794,0.7877,0.1332,0.1198,0.0911,-0.1557,-2.19,93.57,0.76,129522.0,0.0,0.0284,0.025,-0.0004,-0.0433,0.9201,-0.0114,1.13
720,3199,0.0789,0.7869,0.1344,0.1156,0.075,-0.1604,-1.42,69.78,0.75,130929.0,0.0,0.0248,0.0242,-0.0005,-0.0433,0.8642,-0.0116,1.13
721,3199,0.0775,0.79,0.1327,0.1013,0.0743,-0.1669,-2.68,56.36,0.74,133399.0,0.0,0.0231,0.0219,-0.0007,-0.0376,0.9416,-0.0112,1.12
722,3199,0.0767,0.7902,0.1335,0.1124,0.0815,-0.1603,-1.97,72.68,0.74,133031.0,0.0,0.0251,0.0245,-0.0004,-0.0421,0.9677,-0.0127,1.12
723,3199,0.0733,0.7889,0.1383,0.1123,0.0774,-0.1619,-1.58,70.49,0.74,133580.0,0.0,0.0236,0.0235,-0.0005,-0.0412,0.8947,-0.0084,1.12
724,3199,0.0729,0.7842,0.1435,0.1062,0.077,-0.1591,-2.1,63.67,0.78,125944.0,0.0,0.024,0.0249,-0.0006,-0.0435,0.941,-0.0071,1.12
