iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
4699,6199,0.0,0.0284,0.0359,0.0185,0.0,-0.0562,-0.97,20.71,1.73,56787.0,0.0,0.0013,0.0027,-0.0004,-0.0041,1.3678,-0.0063,1.03
4700,6199,0.0,0.0614,0.101,0.0663,0.0,-0.034,-0.01,43.75,0.77,127345.0,0.0,0.0135,0.0117,-0.0017,-0.0139,0.4598,-0.0083,1.03
4701,6199,0.0437,0.0748,0.154,0.1373,0.2649,-0.0161,6.32,65.6,0.77,126968.0,0.0,0.0835,0.0198,-0.0019,-0.0195,0.577,-0.0147,1.03
4702,6199,0.1637,0.083,0.1927,0.1878,0.426,-0.0129,7.65,87.49,0.78,126697.0,0.0,0.1209,0.0278,-0.0019,-0.0285,0.6902,-0.0119,1.03
4703,6199,0.2588,0.0896,0.2195,0.2257,0.4279,-0.0151,8.21,102.52,0.77,126891.0,0.0,0.135,0.0381,-0.0023,-0.0356,0.6161,-0.0119,1.03
4704,6199,0.3379,0.095,0.2289,0.2598,0.4823,-0.0104,10.06,111.61,0.79,124454.0,0.0,0.1541,0.0428,-0.0027,-0.0405,0.6423,-0.0119,1.03
4705,6199,0.4049,0.097,0.2346,0.2786,0.4882,-0.0133,8.74,115.94,0.78,125393.0,0.0,0.1627,0.0474,-0.0029,-0.0446,0.6839,-0.0129,1.03
4706,6199,0.4583,0.101,0.2327,0.2896,0.4753,-0.0165,8.4,124.87,0.78,125685.0,0.0,0.1669,0.0488,-0.0033,-0.046,0.6484,-0.0132,1.03
4707,6199,0.5009,0.1045,0.2304,0.3336,0.5082,-0.0115,10.62,142.34,0.79,124399.0,0.0,0.1811,0.0588,-0.0034,-0.0515,0.6151,-0.0125,1.03
4708,6199,0.5402,0.1056,0.2288,0.3332,0.5127,-0.0149,11.05,136.06,0.78,126200.0,0.0,0.1832,0.056,-0.0033,-0.0519,0.6193,-0.0126,1.03
4709,6199,0.574,0.1089,0.222,0.3691,0.5199,-0.0133,10.93,131.65,0.79,124299.0,0.0,0.1953,0.0663,-0.0039,-0.053,0.6341,-0.0129,1.03
4710,6199,0.6052,0.1126,0.2161,0.3916,0.5114,-0.0148,10.87,152.64,0.79,124776.0,0.0,0.2045,0.0709,-0.0039,-0.0568,0.584,-0.0133,1.03
4711,6199,0.6291,0.1133,0.2137,0.3946,0.502,-0.0175,11.32,167.24,0.79,124913.0,0.0,0.1969,0.0734,-0.0048,-0.058,0.5671,-0.0129,1.03
4712,6199,0.6501,0.1149,0.213,0.407,0.53,-0.0124,12.34,152.79,0.79,124253.0,0.0,0.2162,0.0752,-0.0049,-0.0585,0.4912,-0.014,1.03
4713,6199,0.6669,0.1157,0.2122,0.4032,0.5214,-0.0187,11.38,149.35,0.79,125185.0,0.0,0.2049,0.0739,-0.0042,-0.0587,0.6703,-0.0112,1.03
4714,6199,0.6827,0.1104,0.2078,0.4439,0.4856,-0.0159,11.15,150.58,0.78,125250.0,0.0,0.2106,0.0828,-0.0053,-0.0626,0.5407,-0.0092,1.03
4715,6199,0.6972,0.1075,0.1962,0.4479,0.4997,-0.0163,11.7,178.94,0.8,122819.0,0.0,0.218,0.0852,-0.0057,-0.0623,0.5642,-0.012,1.03
4716,6199,0.7026,0.1042,0.194,0.5066,0.454,-0.0098,12.26,203.37,0.79,124769.0,0.0,0.2247,0.0989,-0.0071,-0.0657,0.4916,-0.014,1.03
4717,6199,0.6884,0.1025,0.2097,0.52,0.4117,-0.0159,10.5,199.23,0.79,125143.0,0.0,0.2148,0.1025,-0.0059,-0.0653,0.6638,-0.0135,1.03
4718,6199,0.6762,0.1022,0.2219,0.4902,0.4406,-0.0153,11.5,175.19,0.79,124673.0,0.0,0.2245,0.0938,-0.0055,-0.0631,0.492,-0.014,1.04
4719,6199,0.6694,0.1026,0.2283,0.5242,0.4372,-0.011,11.59,212.18,0.79,124401.0,0.0,0.2197,0.1046,-0.0067,-0.0634,0.5577,-0.0099,1.04
4720,6199,0.6607,0.106,0.2336,0.4837,0.4458,-0.0145,11.43,206.37,0.79,124459.0,0.0,0.2166,0.0923,-0.0056,-0.0621,0.4733,-0.0086,1.04
