iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
0,4000,0.0,0.0457,0.0352,0.0172,0.0,-0.0787,-1.3,21.78,1.68,58392.0,0.0,0.0005,0.0018,0.0,-0.0002,0.2779,0.0124,1.0
1,4000,0.0,0.1547,0.0931,0.0492,0.0,-0.0924,-1.07,43.26,0.77,126873.0,0.0,0.0065,0.007,-0.0,-0.0015,0.1755,-0.0025,1.0
2,4000,0.0344,0.2761,0.1255,0.0915,0.1517,-0.0868,1.95,65.43,0.74,133556.0,0.0,0.0499,0.012,-0.0,-0.0037,2.5769,-0.004,1.0
3,4000,0.1173,0.396,0.1342,0.1041,0.1467,-0.0935,0.53,72.78,0.75,131494.0,0.0,0.0499,0.0147,-0.0,-0.005,1.3042,-0.0051,0.99
4,4000,0.154,0.4906,0.1267,0.1158,0.1525,-0.0974,1.36,72.2,0.74,132514.0,0.0,0.0538,0.0169,-0.0,-0.0066,1.0813,-0.0056,0.99
5,4000,0.1799,0.5424,0.1115,0.1151,0.201,-0.0887,1.87,77.81,0.75,131088.0,0.0,0.0603,0.0178,-0.0,-0.0071,1.2335,-0.0054,0.99
6,4000,0.2115,0.5609,0.1025,0.1287,0.2594,-0.076,3.49,87.89,0.71,137895.0,0.0,0.0728,0.0197,-0.0,-0.0081,1.3174,-0.0048,0.98
7,4000,0.2453,0.5587,0.0996,0.1374,0.2727,-0.0729,4.1,96.91,0.72,136539.0,0.0,0.0771,0.0212,-0.0,-0.0093,1.1265,-0.0051,0.98
8,4000,0.2721,0.5537,0.1005,0.1475,0.3063,-0.0656,4.68,93.24,0.76,129509.0,0.0,0.0855,0.0222,-0.0,-0.0104,0.9098,-0.0054,0.97
9,4000,0.2905,0.5518,0.1002,0.1459,0.2922,-0.0709,4.71,107.43,0.7,140626.0,0.0,0.0783,0.0234,-0.0,-0.011,0.745,-0.0047,0.97
10,4000,0.3104,0.5462,0.0985,0.1588,0.3395,-0.0581,4.84,105.65,0.71,139299.0,0.0,0.0921,0.0236,-0.0,-0.0127,0.6177,-0.0048,0.97
11,4000,0.327,0.5385,0.0988,0.1646,0.3704,-0.0538,5.46,116.78,0.75,131935.0,0.0,0.0983,0.0253,-0.0,-0.0137,0.5004,-0.0049,0.97
12,4000,0.3422,0.5296,0.1026,0.1626,0.3482,-0.0486,5.48,121.95,0.69,141468.0,0.0,0.0913,0.0286,0.0,-0.0174,0.3797,-0.0051,0.96
13,4000,0.3546,0.5234,0.11,0.1634,0.3585,-0.041,5.65,121.87,0.69,142106.0,0.0,0.0961,0.0325,-0.0,-0.0207,0.3082,-0.0043,0.96
14,4000,0.364,0.5185,0.1143,0.1893,0.4212,-0.038,7.43,129.03,0.73,135432.0,0.0,0.1119,0.028,0.0,-0.0187,0.2312,-0.0049,0.96
15,4000,0.3726,0.5063,0.1211,0.1959,0.2999,-0.026,4.4,197.91,0.7,140341.0,0.0,0.0777,0.045,-0.0,-0.0354,0.1815,-0.0053,0.95
16,4000,0.3764,0.4881,0.1354,0.1731,0.2044,-0.0218,2.92,232.35,0.7,139893.0,0.0,0.0534,0.0557,-0.0,-0.0487,0.154,-0.0009,0.95
17,4000,0.3705,0.4596,0.1699,0.1569,0.1437,-0.0163,1.55,269.99,0.81,120889.0,0.0,0.0378,0.0625,0.0,-0.0561,0.1409,-0.003,0.94
18,4000,0.3525,0.4187,0.2288,0.1609,0.1158,-0.0181,0.66,290.43,0.83,118990.0,0.0,0.0292,0.0633,-0.0,-0.0594,0.1363,-0.0027,0.94
19,4000,0.3499,0.3684,0.2817,0.1662,0.1193,-0.0184,1.23,262.12,0.73,135363.0,0.0,0.031,0.0624,-0.0,-0.0612,0.1526,-0.0047,0.94
20,4000,0.3455,0.3235,0.331,0.1695,0.1368,-0.0165,1.91,267.21,0.71,139225.0,0.0,0.0343,0.0616,-0.0,-0.061,0.1809,-0.0012,0.94
21,4000,0.339,0.2805,0.3805,0.1988,0.1729,-0.0143,2.14,241.23,0.72,136236.0,0.0,0.0434,0.0593,-0.0,-0.0626,0.1891,-0.0032,0.93
22,4000,0.3291,0.2406,0.4303,0.1919,0.1714,-0.0153,2.77,254.75,0.75,130796.0,0.0,0.0432,0.0585,0.0,-0.063,0.1827,-0.0051,0.93
23,4000,0.3204,0.2106,0.469,0.173,0.2003,-0.02,3.26,215.95,0.78,125254.0,0.0,0.0503,0.0532,0.0,-0.0578,0.1583,-0.003,0.92
24,4000,0.3171,0.1871,0.4958,0.1869,0.2313,-0.0163,2.42,252.05,0.7,141220.0,0.0,0.0581,0.0522,0.0,-0.0588,0.1673,-0.005,0.92
25,4000,0.3094,0.1649,0.5257,0.1911,0.2366,-0.0145,3.71,223.27,0.77,128085.0,0.0,0.0614,0.0529,0.0,-0.0591,0.1667,-0.0034,0.92
26,4000,0.3083,0.1478,0.5439,0.1863,0.2798,-0.0208,3.7,198.09,0.77,127032.0,0.0,0.0716,0.0454,0.0,-0.0517,0.1587,0.0007,0.92
27,4000,0.3068,0.1365,0.5567,0.2044,0.2768,-0.0207,4.92,171.41,0.8,122717.0,0.0,0.0709,0.0455,0.0,-0.0515,0.1498,-0.0032,0.91
28,4000,0.3071,0.1314,0.5615,0.2114,0.3056,-0.0169,4.59,209.37,1.64,59817.0,0.0,0.0784,0.0453,0.0,-0.0497,0.1506,-0.005,0.91
