iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
1750,4000,0.0,0.0357,0.0361,0.0192,0.0,-0.0637,-1.28,20.85,1.7,57833.0,0.0,0.0014,0.0024,-0.0002,-0.0033,1.6107,-0.0036,1.01
1751,4000,0.0,0.0785,0.1001,0.06,0.0,-0.0362,-0.15,41.88,0.77,128320.0,0.0,0.0141,0.0102,-0.0012,-0.0119,0.4526,-0.0086,1.01
1752,4000,0.0471,0.0974,0.1473,0.1252,0.2339,-0.0259,5.45,64.92,0.76,129978.0,0.0,0.077,0.0166,-0.0012,-0.0188,0.6432,-0.0134,1.01
1753,4000,0.1401,0.1067,0.1848,0.1751,0.358,-0.0179,8.08,87.45,0.75,131838.0,0.0,0.1091,0.0241,-0.0013,-0.0308,0.5449,-0.0131,1.01
1754,4000,0.2461,0.1121,0.207,0.22,0.4798,-0.0144,8.76,104.28,0.75,130688.0,0.0,0.1407,0.0314,-0.0024,-0.0404,0.6295,-0.014,1.01
1755,4000,0.3483,0.1174,0.2159,0.239,0.4653,-0.0183,8.88,116.46,0.76,129478.0,0.0,0.1453,0.0344,-0.0022,-0.0432,0.5589,-0.0137,1.02
1756,4000,0.4227,0.1181,0.2192,0.2682,0.5055,-0.0124,10.09,119.7,0.75,130708.0,0.0,0.1657,0.0384,-0.002,-0.0479,0.6217,-0.0139,1.02
1757,4000,0.4858,0.1207,0.2109,0.2822,0.4931,-0.0182,8.86,125.52,0.75,130981.0,0.0,0.1701,0.0406,-0.002,-0.0497,0.638,-0.0125,1.02
1758,4000,0.5379,0.1199,0.2042,0.3024,0.5316,-0.0136,10.95,130.71,0.76,130081.0,0.0,0.1827,0.0437,-0.002,-0.055,0.5742,-0.0086,1.02
1759,4000,0.5778,0.1209,0.1981,0.3139,0.512,-0.0166,9.63,134.91,0.75,131157.0,0.0,0.1835,0.0449,-0.0021,-0.0558,0.6779,-0.0137,1.02
1760,4000,0.6109,0.1251,0.189,0.3268,0.5449,-0.0141,11.61,142.94,0.75,130374.0,0.0,0.1949,0.0471,-0.0022,-0.059,0.5578,-0.0145,1.02
1761,4000,0.6416,0.1268,0.1783,0.3411,0.5377,-0.0141,12.13,137.77,0.75,130929.0,0.0,0.2003,0.0495,-0.002,-0.0623,0.5684,-0.0135,1.02
1762,4000,0.67,0.1264,0.1681,0.346,0.5419,-0.0172,10.17,151.46,0.76,130117.0,0.0,0.2034,0.0493,-0.002,-0.0625,0.6373,-0.0135,1.02
1763,4000,0.6913,0.1264,0.1638,0.3412,0.5461,-0.0162,10.28,125.74,0.76,130158.0,0.0,0.2002,0.0485,-0.0021,-0.0608,0.6101,-0.011,1.02
1764,4000,0.7082,0.1279,0.1591,0.3422,0.5361,-0.0199,10.96,141.33,0.76,128616.0,0.0,0.1974,0.0491,-0.0021,-0.0601,0.627,-0.0091,1.02
1765,4000,0.7203,0.1257,0.1545,0.3959,0.4876,-0.0168,10.69,156.92,0.76,129222.0,0.0,0.2165,0.0585,-0.0023,-0.0712,0.4939,-0.0136,1.02
1766,4000,0.7308,0.1205,0.1493,0.38,0.5275,-0.0171,11.21,155.45,0.76,129835.0,0.0,0.2129,0.0561,-0.0019,-0.0696,0.4907,-0.0133,1.02
1767,4000,0.7356,0.1147,0.1501,0.442,0.4647,-0.0162,10.35,155.42,0.76,129209.0,0.0,0.2259,0.0655,-0.0025,-0.0796,0.5486,-0.0138,1.02
1768,4000,0.7294,0.1156,0.1552,0.3976,0.4827,-0.0194,11.01,170.88,0.76,128837.0,0.0,0.2143,0.0589,-0.002,-0.0712,0.5629,-0.0135,1.02
1769,4000,0.7214,0.1177,0.1611,0.4562,0.4389,-0.0172,10.57,176.23,0.76,129911.0,0.0,0.2273,0.0698,-0.0028,-0.0854,0.5976,-0.0121,1.02
1770,4000,0.7126,0.1189,0.1689,0.4292,0.4608,-0.0178,10.45,154.37,0.76,129805.0,0.0,0.22,0.0647,-0.0027,-0.0774,0.5897,-0.0136,1.02
1771,4000,0.708,0.1218,0.1706,0.4194,0.4646,-0.0189,10.21,168.53,0.76,129842.0,0.0,0.2138,0.0628,-0.002,-0.0765,0.4977,-0.0135,1.02
1772,4000,0.7015,0.1214,0.1776,0.4347,0.478,-0.0141,10.35,162.57,0.76,128764.0,0.0,0.2206,0.0657,-0.0024,-0.0785,0.5195,-0.0134,1.02
1773,4000,0.6927,0.1217,0.1861,0.4463,0.4501,-0.0174,10.4,193.39,0.76,129877.0,0.0,0.2273,0.0661,-0.0025,-0.0791,0.499,-0.0114,1.02
1774,4000,0.6886,0.1215,0.1906,0.4473,0.467,-0.0142,11.31,184.66,0.76,129673.0,0.0,0.2269,0.0673,-0.0024,-0.081,0.5218,-0.0139,1.02
1775,4000,0.681,0.1201,0.1996,0.4452,0.4676,-0.0138,10.95,179.83,0.76,130146.0,0.0,0.2168,0.0673,-0.0021,-0.0808,0.4357,-0.0126,1.02
1776,4000,0.676,0.1178,0.2069,0.4532,0.4517,-0.0157,9.9,172.48,0.76,129313.0,0.0,0.2284,0.0684,-0.0021,-0.0809,0.4936,-0.0131,1.02
1777,4000,0.6679,0.1187,0.2143,0.4237,0.4467,-0.0201,9.95,159.66,0.76,129089.0,0.0,0.2111,0.0627,-0.0021,-0.0772,0.5494,-0.0125,1.02
1778,4000,0.6621,0.1206,0.2183,0.4378,0.4627,-0.0169,10.15,158.08,0.76,130015.0,0.0,0.2181,0.0654,-0.0022,-0.0782,0.4922,-0.0106,1.02
1779,4000,0.6603,0.1229,0.2177,0.4171,0.4616,-0.0183,11.33,179.36,0.76,129857.0,0.0,0.2115,0.0607,-0.0021,-0.075,0.526,-0.0116,1.02
1780,4000,0.6591,0.1226,0.2192,0.4241,0.4569,-0.0188,10.67,165.75,0.76,129483.0,0.0,0.2123,0.0627,-0.002,-0.0747,0.5723,-0.0131,1.02
1781,4000,0.6597,0.1246,0.2166,0.4137,0.4678,-0.0201,10.96,175.89,0.76,129336.0,0.0,0.2121,0.06,-0.0023,-0.0752,0.4848,-0.0134,1.02
1782,4000,0.6597,0.1226,0.2184,0.4582,0.4541,-0.0139,11.4,177.92,0.77,127765.0,0.0,0.2276,0.0678,-0.002,-0.0828,0.5046,-0.0145,1.02
1783,4000,0.658,0.1203,0.2228,0.4783,0.4376,-0.0151,12.08,216.0,0.76,129106.0,0.0,0.2353,0.0707,-0.0019,-0.0862,0.4564,-0.0132,1.02
1784,4000,0.6494,0.118,0.2338,0.5092,0.3928,-0.0163,11.43,206.38,0.76,129876.0,0.0,0.2322,0.0766,-0.0025,-0.0917,0.4544,-0.0109,1.02
1785,4000,0.6477,0.117,0.2365,0.4382,0.4769,-0.0148,10.44,150.12,0.76,128671.0,0.0,0.2207,0.0647,-0.0018,-0.0786,0.5118,-0.0122,1.02
1786,4000,0.6476,0.1179,0.2354,0.4617,0.4601,-0.0146,11.54,182.75,0.76,128925.0,0.0,0.2232,0.0693,-0.0021,-0.0841,0.4798,-0.0131,1.02
1787,4000,0.6501,0.1167,0.2342,0.4544,0.4496,-0.0161,9.92,186.1,0.76,129645.0,0.0,0.2204,0.0677,-0.002,-0.0818,0.5097,-0.0115,1.02
1788,4000,0.6506,0.1168,0.2336,0.4469,0.4837,-0.014,11.87,174.33,0.76,130125.0,0.0,0.2303,0.0667,-0.0027,-0.0802,0.5079,-0.0116,1.02
1789,4000,0.6548,0.1155,0.2303,0.4392,0.4557,-0.016,10.05,184.04,0.76,128833.0,0.0,0.2164,0.0663,-0.0021,-0.0807,0.5176,-0.0135,1.02
1790,4000,0.6521,0.1166,0.2315,0.4195,0.4636,-0.0176,10.91,167.19,0.75,130304.0,0.0,0.211,0.0624,-0.0019,-0.0754,0.5365,-0.0138,1.02
1791,4000,0.6526,0.1189,0.2287,0.4293,0.4815,-0.0149,11.95,168.11,0.76,129900.0,0.0,0.2203,0.0635,-0.0019,-0.0763,0.5331,-0.0124,1.02
1792,4000,0.657,0.1142,0.2291,0.4629,0.4577,-0.0146,10.89,166.54,0.76,129952.0,0.0,0.2337,0.0707,-0.0021,-0.0849,0.5548,-0.0128,1.02
1793,4000,0.6575,0.1146,0.2286,0.4302,0.4708,-0.0169,10.87,168.19,0.75,130561.0,0.0,0.2201,0.0636,-0.0018,-0.077,0.5973,-0.0128,1.02
1794,4000,0.6595,0.1128,0.2285,0.4306,0.4552,-0.019,10.3,155.46,0.76,129882.0,0.0,0.2199,0.0642,-0.0023,-0.0752,0.5223,-0.0123,1.02
1795,4000,0.6622,0.1111,0.2276,0.4278,0.4885,-0.0129,10.67,161.09,0.76,129564.0,0.0,0.2253,0.0636,-0.002,-0.077,0.467,-0.0138,1.02
1796,4000,0.6653,0.1081,0.2274,0.4212,0.4781,-0.0165,10.1,166.09,0.76,129857.0,0.0,0.2132,0.062,-0.0019,-0.0735,0.5962,-0.0135,1.02
1797,4000,0.6667,0.1086,0.2253,0.405,0.4736,-0.0174,10.78,171.4,0.76,130078.0,0.0,0.2162,0.0607,-0.0023,-0.074,0.5351,-0.0135,1.02
1798,4000,0.6665,0.1113,0.2224,0.4223,0.469,-0.0183,11.17,166.14,0.76,129974.0,0.0,0.223,0.0625,-0.0018,-0.0736,0.5077,-0.0119,1.02
1799,4000,0.6709,0.112,0.2173,0.4211,0.4872,-0.0156,11.68,187.24,0.77,128187.0,0.0,0.2153,0.0614,-0.0021,-0.0753,0.5154,-0.0136,1.02
1800,4000,0.6761,0.1096,0.2143,0.4396,0.4859,-0.0155,11.54,177.78,0.77,127475.0,0.0,0.2312,0.0638,-0.0021,-0.0778,0.4895,-0.0117,1.02
1801,4000,0.6753,0.1115,0.2134,0.4276,0.4629,-0.0179,11.16,166.24,0.76,129458.0,0.0,0.2247,0.0638,-0.002,-0.0771,0.5011,-0.0128,1.02
1802,4000,0.6729,0.1134,0.2144,0.4566,0.465,-0.0128,10.91,178.72,0.76,129986.0,0.0,0.2349,0.0677,-0.0018,-0.0819,0.5507,-0.014,1.02
1803,4000,0.6711,0.1128,0.2168,0.4622,0.4406,-0.0169,11.45,198.83,0.75,130438.0,0.0,0.2281,0.0687,-0.0025,-0.0813,0.4955,-0.0127,1.02
1804,4000,0.666,0.112,0.2228,0.4419,0.4826,-0.0126,12.31,176.38,0.75,130231.0,0.0,0.2328,0.0645,-0.0022,-0.0774,0.4797,-0.0139,1.02
1805,4000,0.6703,0.1118,0.2188,0.4371,0.4808,-0.016,10.47,183.69,0.77,128081.0,0.0,0.229,0.0636,-0.002,-0.0765,0.5371,-0.0102,1.02
1806,4000,0.6672,0.1132,0.2206,0.4527,0.4385,-0.0164,11.82,187.39,0.77,128314.0,0.0,0.2307,0.0655,-0.002,-0.0789,0.4917,-0.0082,1.02
