iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
699,4699,0.0,0.0531,0.0352,0.016,0.0,-0.0834,-2.03,22.91,2.83,34738.0,0.0,0.0004,0.002,-0.0,-0.0029,6.5229,0.0539,1.15
700,4699,0.0,0.2338,0.0895,0.0433,0.0,-0.11,-1.79,39.43,1.79,54828.0,0.0,0.0045,0.0081,-0.0,-0.011,2.0439,0.0137,1.15
701,4699,0.0579,0.3568,0.1162,0.0917,0.2103,-0.079,2.84,57.48,1.77,55675.0,0.0,0.0588,0.0133,-0.0001,-0.0174,5.2195,0.01,1.15
702,4699,0.1937,0.4228,0.1186,0.1069,0.2543,-0.0748,2.29,60.24,1.79,54868.0,0.0,0.0696,0.0157,-0.0002,-0.0212,3.4042,0.0035,1.15
703,4699,0.2405,0.4577,0.1102,0.108,0.2282,-0.0824,2.07,67.22,1.79,54861.0,0.0,0.0653,0.0178,-0.0002,-0.025,2.5818,0.0002,1.15
704,4699,0.274,0.4761,0.1004,0.1201,0.2764,-0.0739,1.86,65.9,1.79,54871.0,0.0,0.0767,0.0196,-0.0002,-0.027,2.5936,-0.0015,1.15
705,4699,0.2923,0.4913,0.0952,0.1174,0.261,-0.0782,2.09,69.54,1.82,53959.0,0.0,0.0728,0.0199,-0.0002,-0.0281,2.3721,-0.0046,1.15
706,4699,0.2966,0.51,0.0917,0.1136,0.2252,-0.0865,2.18,75.46,1.8,54720.0,0.0,0.0654,0.0206,-0.0001,-0.0298,2.0146,-0.0069,1.14
707,4699,0.3032,0.5233,0.089,0.1228,0.2503,-0.0799,2.12,62.74,1.79,54975.0,0.0,0.072,0.0227,-0.0001,-0.0331,2.0756,-0.0039,1.14
708,4699,0.3102,0.5357,0.087,0.1178,0.2184,-0.0867,2.29,79.98,1.79,55045.0,0.0,0.064,0.0241,-0.0008,-0.0346,1.7514,-0.0047,1.14
709,4699,0.3139,0.5456,0.0866,0.1225,0.2369,-0.0831,2.08,102.03,1.8,54757.0,0.0,0.068,0.0273,-0.0002,-0.0382,1.3166,-0.0056,1.14
710,4699,0.3158,0.5561,0.0878,0.1257,0.2637,-0.0781,1.97,84.26,1.79,54912.0,0.0,0.0738,0.0285,-0.0002,-0.0397,1.2158,-0.007,1.14
711,4699,0.3231,0.5617,0.0878,0.1305,0.2352,-0.0828,2.87,100.96,1.8,54610.0,0.0,0.0676,0.0317,-0.0002,-0.0449,1.1191,-0.0063,1.13
712,4699,0.3252,0.5705,0.0892,0.1197,0.2221,-0.0828,1.74,103.5,1.78,55330.0,0.0,0.062,0.0352,-0.0002,-0.048,1.019,-0.0071,1.13
713,4699,0.3267,0.5808,0.0887,0.1299,0.2351,-0.0834,1.88,124.14,1.8,54674.0,0.0,0.0686,0.0329,-0.0002,-0.0461,0.9642,-0.007,1.13
714,4699,0.3365,0.5718,0.0922,0.1464,0.2129,-0.0686,1.59,117.93,1.8,54691.0,0.0,0.0642,0.0474,-0.0002,-0.0703,1.0315,-0.007,1.12
715,4699,0.3423,0.5481,0.1101,0.1411,0.1931,-0.0697,1.12,144.47,1.79,55019.0,0.0,0.0571,0.0506,-0.0002,-0.0751,0.9764,-0.0082,1.12
716,4699,0.3377,0.5344,0.1283,0.1358,0.1919,-0.0649,1.2,163.38,1.78,55153.0,0.0,0.0554,0.0521,-0.0002,-0.0761,0.8888,-0.0045,1.12
717,4699,0.3194,0.5276,0.1537,0.131,0.1923,-0.0673,1.16,112.96,1.78,55090.0,0.0,0.0556,0.0474,-0.0002,-0.0718,0.8848,-0.0076,1.11
718,4699,0.3174,0.5219,0.1614,0.1339,0.209,-0.0687,1.35,128.54,1.79,55000.0,0.0,0.0602,0.0419,-0.0002,-0.0651,0.8237,-0.0081,1.11
719,4699,0.3186,0.5165,0.1657,0.136,0.2421,-0.0603,2.03,118.23,1.77,55542.0,0.0,0.0677,0.0439,-0.0001,-0.0644,0.7858,-0.0074,1.11
720,4699,0.3204,0.5093,0.1709,0.1298,0.2259,-0.061,1.04,143.52,1.78,55283.0,0.0,0.0624,0.0448,-0.0001,-0.0661,0.7262,-0.0083,1.11
721,4699,0.3261,0.4921,0.1822,0.1333,0.2395,-0.0573,1.51,161.7,1.79,54971.0,0.0,0.0677,0.0435,-0.0001,-0.0666,0.7435,-0.0087,1.1
722,4699,0.3277,0.4833,0.1894,0.1312,0.2281,-0.0615,1.73,156.41,1.79,54881.0,0.0,0.0645,0.0419,-0.0001,-0.0639,0.6652,-0.0067,1.1
723,4699,0.3315,0.4704,0.1984,0.1268,0.2621,-0.0506,2.15,159.69,1.78,55094.0,0.0,0.0726,0.0439,-0.0001,-0.0634,0.6117,-0.0036,1.1
724,4699,0.3358,0.4576,0.2069,0.1291,0.2701,-0.052,1.85,180.71,1.78,55358.0,0.0,0.0734,0.0421,-0.0001,-0.0631,0.5734,-0.0053,1.09
725,4699,0.3378,0.4451,0.2173,0.1301,0.2599,-0.0498,2.57,161.65,1.78,55288.0,0.0,0.0732,0.0437,-0.0001,-0.0685,0.5326,-0.0083,1.09
