iteration,total,hold_success,dropped,time_out,r_face_alignment,r_hold_bonus,r_dropped_penalty,mean_reward,mean_ep_len,iter_time_s,steps_per_s,invalid_state,r_hold_progress,r_grasp_contact,r_excess_force,r_joint_limits,value_loss,surrogate_loss,action_std
2400,4700,0.0,0.0278,0.0358,0.0196,0.0,-0.0531,-0.81,20.75,1.77,55573.0,0.0,0.0015,0.0026,-0.0004,-0.0032,1.1415,-0.0065,0.98
2401,4700,0.0,0.057,0.101,0.0656,0.0,-0.0272,0.17,43.51,0.76,129637.0,0.0,0.0146,0.0106,-0.0009,-0.0125,0.3287,-0.0086,0.98
2402,4700,0.0529,0.0693,0.1526,0.1347,0.2698,-0.0152,6.83,66.26,0.76,129850.0,0.0,0.0878,0.017,-0.0005,-0.0186,0.5225,-0.0154,0.98
2403,4700,0.1661,0.0779,0.1897,0.1823,0.3816,-0.0159,7.57,86.47,0.76,129375.0,0.0,0.1128,0.0248,-0.0007,-0.0312,0.5908,-0.0122,0.98
2404,4700,0.2501,0.0836,0.2126,0.2282,0.4424,-0.0111,8.64,102.01,0.76,128926.0,0.0,0.1393,0.0326,-0.001,-0.0423,0.4398,-0.013,0.98
2405,4700,0.3302,0.0844,0.2283,0.2507,0.4706,-0.0108,8.25,106.73,0.77,128457.0,0.0,0.1542,0.0346,-0.0009,-0.0445,0.5488,-0.0136,0.98
2406,4700,0.3899,0.0888,0.2419,0.2741,0.4479,-0.0143,8.46,109.71,0.77,127434.0,0.0,0.1577,0.0392,-0.001,-0.0482,0.5269,-0.0134,0.98
2407,4700,0.4365,0.0951,0.2434,0.3013,0.462,-0.0152,9.63,129.07,0.76,128514.0,0.0,0.1694,0.0437,-0.0012,-0.0538,0.4678,-0.0132,0.98
2408,4700,0.4717,0.0967,0.2488,0.3212,0.4702,-0.0127,9.22,145.46,0.77,128393.0,0.0,0.1733,0.0453,-0.0009,-0.0556,0.4554,-0.013,0.98
2409,4700,0.5032,0.0995,0.251,0.3335,0.4945,-0.0137,10.11,135.88,0.76,129620.0,0.0,0.1809,0.0491,-0.0009,-0.0577,0.4502,-0.0119,0.98
2410,4700,0.531,0.1039,0.2469,0.3587,0.5154,-0.0102,11.36,158.71,0.76,129375.0,0.0,0.1932,0.053,-0.0013,-0.0598,0.5114,-0.012,0.98
2411,4700,0.5602,0.1054,0.2469,0.3925,0.4881,-0.0137,10.62,156.34,0.77,128157.0,0.0,0.1977,0.0569,-0.0011,-0.0663,0.3935,-0.0129,0.98
2412,4700,0.5845,0.1067,0.2489,0.4328,0.4675,-0.0126,10.91,186.19,0.76,129459.0,0.0,0.2033,0.0649,-0.0012,-0.0713,0.4376,-0.0137,0.98
2413,4700,0.6092,0.107,0.2518,0.4227,0.4745,-0.0141,11.18,184.31,0.76,129339.0,0.0,0.2071,0.0608,-0.001,-0.0692,0.463,-0.0112,0.98
2414,4700,0.63,0.1101,0.2518,0.4345,0.5049,-0.014,10.28,164.35,0.76,129061.0,0.0,0.2096,0.0661,-0.0012,-0.0698,0.4267,-0.0122,0.98
2415,4700,0.6448,0.1072,0.2492,0.4773,0.4256,-0.017,11.98,208.12,0.77,127977.0,0.0,0.2124,0.0725,-0.0014,-0.0768,0.4086,-0.0127,0.98
2416,4700,0.6633,0.0994,0.2385,0.4617,0.4802,-0.0131,11.77,189.66,0.77,128406.0,0.0,0.2241,0.0683,-0.0014,-0.073,0.3999,-0.0125,0.98
2417,4700,0.6643,0.0967,0.2399,0.5371,0.3991,-0.0096,11.05,216.85,0.76,128873.0,0.0,0.216,0.0839,-0.0014,-0.078,0.48,-0.0119,0.98
2418,4700,0.6497,0.0948,0.2565,0.5097,0.4148,-0.0159,11.5,200.04,0.77,128201.0,0.0,0.2157,0.0787,-0.0014,-0.0753,0.4918,-0.0119,0.98
2419,4700,0.6452,0.0941,0.2617,0.5209,0.4263,-0.0112,12.09,195.07,0.76,129599.0,0.0,0.2239,0.0796,-0.0012,-0.0825,0.4309,-0.0137,0.98
2420,4700,0.6367,0.0927,0.2714,0.5299,0.3984,-0.0116,10.8,192.97,0.76,128606.0,0.0,0.2202,0.0816,-0.0011,-0.0766,0.414,-0.0133,0.98
2421,4700,0.6308,0.0903,0.2792,0.4975,0.4185,-0.0124,10.57,203.77,0.76,130152.0,0.0,0.2011,0.079,-0.001,-0.0726,0.4033,-0.014,0.98
2422,4700,0.6286,0.0872,0.2844,0.5022,0.4327,-0.0102,11.1,207.54,0.77,127301.0,0.0,0.2091,0.0788,-0.0015,-0.0778,0.4572,-0.0127,0.98
2423,4700,0.6307,0.0858,0.2837,0.4581,0.4851,-0.011,11.78,189.53,0.76,129823.0,0.0,0.2155,0.0694,-0.001,-0.0732,0.4367,-0.0139,0.98
2424,4700,0.6381,0.0845,0.2774,0.4916,0.4464,-0.0114,11.58,202.11,0.75,130221.0,0.0,0.2196,0.0729,-0.0012,-0.0758,0.4084,-0.013,0.98
2425,4700,0.6374,0.0847,0.2779,0.4807,0.4584,-0.01,10.49,181.92,0.77,127331.0,0.0,0.2148,0.0721,-0.0011,-0.0752,0.4289,-0.0136,0.98
2426,4700,0.6333,0.0854,0.2814,0.4775,0.4533,-0.0111,11.37,192.66,0.76,129825.0,0.0,0.2111,0.0715,-0.0009,-0.0763,0.4467,-0.0126,0.98
2427,4700,0.6357,0.0848,0.2795,0.4788,0.4677,-0.0129,11.66,182.06,0.75,130371.0,0.0,0.2232,0.0697,-0.0011,-0.0758,0.3849,-0.0124,0.98
2428,4700,0.6347,0.0845,0.2809,0.4994,0.4549,-0.0093,11.22,183.6,0.75,130769.0,0.0,0.2205,0.0752,-0.001,-0.0789,0.4058,-0.0132,0.98
2429,4700,0.6345,0.0853,0.2804,0.4625,0.4636,-0.0134,12.02,197.77,0.75,130742.0,0.0,0.2108,0.0691,-0.0009,-0.0728,0.4121,-0.0137,0.98
2430,4700,0.6371,0.0826,0.281,0.4968,0.4387,-0.0119,11.57,186.81,0.76,128923.0,0.0,0.2214,0.0767,-0.001,-0.0757,0.4277,-0.0126,0.98
2431,4700,0.6385,0.0814,0.2808,0.5049,0.4386,-0.0122,10.84,184.37,0.76,129055.0,0.0,0.2202,0.0751,-0.001,-0.0807,0.4354,-0.0125,0.98
2432,4700,0.6395,0.0814,0.2799,0.5097,0.4528,-0.0105,11.39,225.88,0.77,128436.0,0.0,0.2211,0.0764,-0.0009,-0.0813,0.4707,-0.0137,0.98
2433,4700,0.6416,0.082,0.2775,0.4992,0.4552,-0.0108,11.38,183.71,0.76,129035.0,0.0,0.2206,0.0764,-0.0009,-0.0781,0.42,-0.0132,0.98
2434,4700,0.6416,0.0835,0.2759,0.5006,0.4198,-0.0154,10.81,203.28,0.76,128993.0,0.0,0.2183,0.072,-0.001,-0.0784,0.4479,-0.0133,0.99
2435,4700,0.645,0.0836,0.2722,0.5117,0.441,-0.0106,11.73,202.06,0.76,129294.0,0.0,0.227,0.0752,-0.0011,-0.078,0.4505,-0.0114,0.99
2436,4700,0.6483,0.0836,0.2688,0.4834,0.4275,-0.0158,10.92,201.7,0.77,128200.0,0.0,0.2094,0.0741,-0.001,-0.0708,0.3676,-0.0134,0.99
2437,4700,0.647,0.0841,0.2696,0.5142,0.4452,-0.0077,11.05,212.83,0.76,129321.0,0.0,0.225,0.0777,-0.0009,-0.0766,0.4014,-0.0139,0.99
2438,4700,0.6418,0.085,0.2742,0.4961,0.4275,-0.0127,10.72,204.65,0.76,129950.0,0.0,0.2151,0.0753,-0.001,-0.0741,0.4332,-0.0139,0.99
2439,4700,0.6399,0.0862,0.2752,0.4836,0.4587,-0.0136,11.8,185.05,0.76,129267.0,0.0,0.2168,0.0735,-0.0009,-0.073,0.4672,-0.0119,0.99
2440,4700,0.6354,0.0872,0.2787,0.5333,0.3906,-0.0126,11.31,205.39,0.75,130291.0,0.0,0.2169,0.083,-0.0011,-0.0801,0.4178,-0.0126,0.99
2441,4700,0.632,0.087,0.282,0.5099,0.4443,-0.0097,11.46,212.85,0.76,129092.0,0.0,0.2149,0.0799,-0.0009,-0.0773,0.4479,-0.0143,0.99
2442,4700,0.6301,0.0869,0.284,0.4862,0.4361,-0.013,11.26,185.54,0.76,129388.0,0.0,0.2155,0.0738,-0.0009,-0.0742,0.4504,-0.0138,0.99
2443,4700,0.6358,0.0856,0.2796,0.4927,0.4703,-0.0104,11.47,203.76,0.76,129429.0,0.0,0.2171,0.0754,-0.0008,-0.0778,0.4055,-0.0138,0.99
2444,4700,0.6375,0.0838,0.2798,0.495,0.4326,-0.0131,10.39,192.69,0.76,128902.0,0.0,0.2099,0.0774,-0.0009,-0.0791,0.4478,-0.0137,0.99
2445,4700,0.637,0.0852,0.2786,0.4897,0.4565,-0.0099,11.97,204.34,0.76,128949.0,0.0,0.2117,0.078,-0.0011,-0.0793,0.4629,-0.0142,0.99
2446,4700,0.6413,0.0841,0.2753,0.4822,0.4712,-0.0118,11.95,187.16,0.77,127827.0,0.0,0.2132,0.0755,-0.001,-0.0755,0.46,-0.0128,0.99
2447,4700,0.6426,0.0872,0.2709,0.4795,0.4431,-0.0126,11.44,197.86,0.76,129086.0,0.0,0.2144,0.0743,-0.0009,-0.0725,0.4562,-0.0113,0.99
2448,4700,0.6402,0.0867,0.2736,0.4825,0.4534,-0.0129,12.05,197.61,0.76,129896.0,0.0,0.2142,0.0744,-0.0009,-0.0732,0.4651,-0.0138,0.99
2449,4700,0.6439,0.085,0.2715,0.4679,0.4441,-0.0135,10.65,179.4,0.77,127852.0,0.0,0.2029,0.0742,-0.001,-0.0719,0.3673,-0.0127,0.99
2450,4700,0.6454,0.0834,0.2714,0.5073,0.4542,-0.0085,11.88,214.82,0.77,127479.0,0.0,0.2254,0.0772,-0.001,-0.0785,0.4417,-0.0141,0.99
2451,4700,0.6439,0.0848,0.2716,0.4793,0.4511,-0.0145,11.12,175.17,0.76,129024.0,0.0,0.218,0.0699,-0.0008,-0.073,0.457,-0.0123,0.99
2452,4700,0.6474,0.0856,0.2672,0.4591,0.4803,-0.0136,11.3,182.05,0.76,128553.0,0.0,0.2126,0.0701,-0.0009,-0.0719,0.4772,-0.0134,0.99
2453,4700,0.6475,0.0863,0.2663,0.4632,0.4609,-0.0113,11.31,173.44,0.76,129768.0,0.0,0.2028,0.0742,-0.0009,-0.071,0.4466,-0.0126,0.99
2454,4700,0.6483,0.0862,0.2656,0.4858,0.4444,-0.0105,12.38,185.42,0.76,128663.0,0.0,0.2086,0.0762,-0.0008,-0.0741,0.4596,-0.0136,0.99
2455,4700,0.648,0.085,0.2672,0.4621,0.4506,-0.0148,10.98,166.79,0.77,128196.0,0.0,0.2131,0.0704,-0.0009,-0.0692,0.4635,-0.0131,0.99
2456,4700,0.6483,0.0882,0.2639,0.45,0.4593,-0.0139,11.49,174.29,0.75,130297.0,0.0,0.2026,0.0711,-0.0009,-0.0661,0.4321,-0.0098,0.99
2457,4700,0.6507,0.0888,0.261,0.4657,0.4617,-0.012,12.63,188.61,0.77,127144.0,0.0,0.2028,0.0728,-0.0009,-0.0719,0.3835,-0.0117,0.99
2458,4700,0.6553,0.0879,0.2573,0.4626,0.4587,-0.0134,10.02,176.75,0.77,128457.0,0.0,0.2084,0.0716,-0.0008,-0.0691,0.4265,-0.013,0.99
2459,4700,0.6583,0.0889,0.2532,0.469,0.4613,-0.013,11.43,191.64,0.76,129481.0,0.0,0.2152,0.0709,-0.0009,-0.0716,0.3699,-0.0127,0.99
2460,4700,0.6609,0.0885,0.2509,0.4864,0.4529,-0.0111,10.85,185.89,0.76,129121.0,0.0,0.2179,0.0761,-0.001,-0.0744,0.3529,-0.0133,0.99
2461,4700,0.658,0.0878,0.2544,0.4835,0.4471,-0.0125,11.07,192.0,0.76,128846.0,0.0,0.2067,0.0753,-0.001,-0.0684,0.3846,-0.0112,0.99
2462,4700,0.6586,0.0881,0.2535,0.4614,0.4812,-0.0126,11.85,179.9,0.76,129239.0,0.0,0.2101,0.0718,-0.0011,-0.0723,0.4316,-0.0126,0.99
2463,4700,0.661,0.0886,0.2506,0.4757,0.4548,-0.0127,11.08,196.17,0.76,128882.0,0.0,0.215,0.0739,-0.001,-0.0743,0.3757,-0.0136,0.99
2464,4700,0.6657,0.0853,0.2495,0.4891,0.4801,-0.0108,10.87,196.35,0.77,127951.0,0.0,0.2317,0.0729,-0.0011,-0.0743,0.3799,-0.0122,0.99
2465,4700,0.6708,0.084,0.2457,0.4882,0.4699,-0.0093,12.0,202.48,0.75,130290.0,0.0,0.219,0.0747,-0.0009,-0.0719,0.3258,-0.0136,0.99
2466,4700,0.6745,0.0826,0.2434,0.478,0.4839,-0.0096,12.45,200.31,0.75,131338.0,0.0,0.2262,0.072,-0.001,-0.0743,0.4304,-0.0117,0.99
2467,4700,0.6736,0.0842,0.2429,0.4639,0.458,-0.0136,10.68,172.26,0.76,130128.0,0.0,0.2104,0.0737,-0.0013,-0.0718,0.3866,-0.0135,0.99
2468,4700,0.6738,0.0848,0.242,0.4933,0.4582,-0.0121,11.19,198.6,0.76,130125.0,0.0,0.2147,0.0753,-0.0012,-0.0749,0.4129,-0.012,0.99
2469,4700,0.6723,0.0856,0.2428,0.4912,0.4671,-0.0111,12.06,210.78,0.75,130896.0,0.0,0.2201,0.0756,-0.001,-0.0754,0.391,-0.0136,0.99
2470,4700,0.6729,0.0832,0.2446,0.4812,0.4799,-0.0086,11.6,181.43,0.75,131512.0,0.0,0.224,0.0732,-0.0011,-0.0732,0.4746,-0.0134,0.99
2471,4700,0.6764,0.0805,0.2441,0.4756,0.4871,-0.0121,10.77,174.08,0.75,131132.0,0.0,0.2213,0.0741,-0.001,-0.072,0.4759,-0.0131,0.99
2472,4700,0.679,0.0788,0.2433,0.4928,0.4731,-0.0108,11.76,211.62,0.75,131542.0,0.0,0.233,0.0742,-0.0011,-0.0762,0.4124,-0.0119,0.99
2473,4700,0.6784,0.0807,0.242,0.4701,0.4777,-0.0112,12.24,190.53,0.76,129615.0,0.0,0.2115,0.0743,-0.001,-0.0735,0.4425,-0.0136,0.99
2474,4700,0.6818,0.0799,0.2391,0.4753,0.481,-0.0116,11.85,186.79,0.75,131576.0,0.0,0.2197,0.0755,-0.001,-0.0739,0.4822,-0.014,0.99
2475,4700,0.6773,0.0838,0.2395,0.4739,0.434,-0.0146,10.71,199.3,0.75,131695.0,0.0,0.2013,0.0777,-0.0011,-0.0751,0.3703,-0.0136,0.99
2476,4700,0.6736,0.0839,0.2435,0.4905,0.4618,-0.0127,10.98,183.16,0.75,130221.0,0.0,0.2235,0.0795,-0.001,-0.0738,0.5278,-0.0127,0.99
2477,4700,0.672,0.0855,0.2433,0.4589,0.4794,-0.012,11.36,183.57,0.75,131170.0,0.0,0.2138,0.0707,-0.0009,-0.0749,0.4576,-0.0127,0.99
2478,4700,0.6721,0.0877,0.2409,0.4714,0.4515,-0.0148,11.77,203.32,0.76,129413.0,0.0,0.2133,0.0743,-0.001,-0.0735,0.4908,-0.0122,0.99
2479,4700,0.671,0.0913,0.2384,0.4374,0.4943,-0.0137,11.91,161.79,0.76,129853.0,0.0,0.2149,0.0666,-0.0008,-0.0726,0.4533,-0.0125,0.99
2480,4700,0.6724,0.0896,0.2385,0.4567,0.4917,-0.0093,11.93,187.09,0.76,130097.0,0.0,0.2142,0.0722,-0.001,-0.0728,0.4579,-0.0135,0.99
2481,4700,0.6742,0.0867,0.2395,0.4819,0.4841,-0.0096,11.43,182.98,0.75,130841.0,0.0,0.2267,0.0764,-0.0009,-0.0772,0.4352,-0.0133,0.99
2482,4700,0.6756,0.0834,0.2413,0.4753,0.4597,-0.0127,11.45,200.15,0.75,130795.0,0.0,0.2163,0.0736,-0.0031,-0.0759,0.4652,-0.0128,0.99
2483,4700,0.6783,0.0839,0.2381,0.4341,0.4984,-0.0131,11.29,170.12,0.76,129389.0,0.0,0.2123,0.0682,-0.0009,-0.0705,0.4532,-0.013,0.99
2484,4700,0.6814,0.0833,0.2355,0.4889,0.4493,-0.0102,11.03,215.44,0.76,130189.0,0.0,0.2119,0.0818,-0.0011,-0.0707,0.4742,-0.0133,0.99
2485,4700,0.6825,0.0832,0.2349,0.4738,0.475,-0.0131,10.78,190.86,0.75,130243.0,0.0,0.2153,0.0763,-0.001,-0.0741,0.5034,-0.0142,0.99
2486,4700,0.6825,0.0806,0.2376,0.4783,0.4749,-0.0086,11.23,206.4,0.75,130543.0,0.0,0.2081,0.0825,-0.0011,-0.0749,0.4619,-0.0126,0.99
2487,4700,0.6823,0.0795,0.239,0.46,0.4644,-0.0122,11.62,181.84,0.76,129996.0,0.0,0.2123,0.0739,-0.0011,-0.0731,0.4779,-0.0136,0.99
2488,4700,0.6838,0.0805,0.2368,0.4644,0.4645,-0.0134,11.07,209.91,0.75,130236.0,0.0,0.2196,0.0727,-0.0013,-0.0736,0.4954,-0.0132,0.99
2489,4700,0.6837,0.0827,0.2348,0.4409,0.4922,-0.0115,11.29,165.02,0.75,130971.0,0.0,0.2112,0.0703,-0.001,-0.0705,0.4683,-0.0134,0.99
2490,4700,0.6828,0.0848,0.2334,0.4296,0.4897,-0.0137,10.75,153.13,0.77,127873.0,0.0,0.2105,0.0672,-0.0012,-0.0697,0.4188,-0.0132,0.99
